Local Authority Reference,Works Status,Works Type,Category Of Works,Description Of Works,Street,Location Of Works,Locality,Start Date,End Date,Reference,Responsible Company,Contact Telephone Number,Emergency Contact Telephone Number,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
LA00524706,WORKS ABANDONED,MAJOR,Streetworks,[Highway repair and maintenance works] Propose Footway Widening and Parking Charges,Chalton Street,OS 15 to JW Euston Road,St Pancras And Somers Town,06/01/2025,31/03/2025,CW064-33091435,Camden,-,-,E05013669,St Pancras and Somers Town,529870.81,182750.57,-0.129176,51.528741,"(51.528741, -0.129176)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00524709,IN PROGRESS,MAJOR,Streetworks,[Highway repair and maintenance works] Upgrade cycle route along York Way,York Way,OS 184 to JW Randell's Road,St Pancras And Somers Town,06/01/2025,31/03/2025,CW064-18951147,Camden,-,-,,,530112.49,184161.34,-0.125173,51.541364,,Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525399,PROPOSED PERMANENT,MINOR,Streetworks,[Permanent reinstatement] interim to perm propose in footway,Theobald's Road,Outside The Holborn Hotel,Holborn And Covent Garden,28/03/2025,28/03/2025,NK103-DIS165411,Virgin Media,-,-,E05013662,Holborn and Covent Garden,530469.07,181700.98,-0.120945,51.519171,"(51.519171, -0.120945)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00476880,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of hoarding on the public highway to facilitate scaffolding,Gray's Inn Road,156,King's Cross,23/08/2021,28/04/2025,LIC-L-LIVE-00053548,Camden,-,-,E05013662,Holborn and Covent Garden,530967.6,182045.07,-0.113636,51.522148,"(51.522148, -0.113636)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528561,IN PROGRESS,IMMEDIATE (URGENT),Streetworks,[Utility repair and maintenance works] Network Operations Faults: Essential repair of electricity cables powering street lighting / furniture: Urgent repairs to Street lighting 1m maintained in the foot way no c/w incursion,Oval Road,"33 Oval Rd, London NW1 7EA",Camden Town,21/03/2025,26/03/2025,EC400-56395584,Uk Power Networks Eastern& London,-,-,E05013655,Camden Town,528532.91,183962.34,-0.14801,51.539937,"(51.539937, -0.14801)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00524393,PROPOSED REMEDIAL,STANDARD,Streetworks,[Remedial works] Crossover,Highgate Road,JW Greenwood Place,Highgate,26/03/2025,01/04/2025,MH065-16299102,Camden,-,-,E05013663,Kentish Town North,528921.56,185351.92,-0.1419,51.552337,"(51.552337, -0.1419)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521171,POTENTIAL WORKS,MAJOR,Streetworks,Noise Insulation - Installation of heritage Grill to Facades  HS2 Highway works inside act limits,Mornington Terrace,"outside house number 28,34,36,38,40,42,44,43,47,54, and 55",Regent's Park,28/04/2025,30/06/2025,TA011-THW-LBC-SCS-5207,Hs2 Ltd,-,-,E05013668,Regents Park,528773.8,183542.48,-0.144692,51.536109,"(51.536109, -0.144692)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528488,PROPOSED WORKS,MINOR,Streetworks,[Utility repair and maintenance works] REPAIR 1 X BLOCKAGE ON EXISTING BTOR DUCT,Templewood Avenue,O/s No. 11 Templewood Avenue,Frognal And Fitzjohns,26/03/2025,28/03/2025,A6001-TEMPLEWOODAVENUE,Its Technology Group,-,-,E05013657,Frognal,525784.6,186144.62,-0.186838,51.560168,"(51.560168, -0.186838)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528590,PROPOSED WORKS,MINOR,Streetworks,FW50|1 x 1 m2M2|Footway - Other Damage (under 3m2)|Permanent Repair,Fleet Square,FLEET SQUARE so 7,King's Cross,21/03/2025,25/03/2025,CW064-50389111,Camden,-,-,E05013666,Kings Cross,530777.29,182567.8,-0.116183,51.52689,"(51.52689, -0.116183)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528555,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. pot hole 1m,Highgate Road,so 56,Highgate,25/03/2025,25/03/2025,CM045-G-LIVE-00294605,Camden,-,-,E05013663,Kentish Town North,528805.38,185496.56,-0.143522,51.553663,"(51.553663, -0.143522)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
